objectives;is_feasible;variables;evaluation_time
[3.8173090320000047, -1.7558789];True;[-4.4416056318398525, 2.0034070546314995, 3.3712942195189033, 1.4618912459324909, -0.7918334331778931, 2.1913156746649864, 4.89532458938046, -0.21662777573966974, -0.5313730763272417, 1.58549982415101];147.40689820004627
[3.581097264000008, -2.499999999999082];True;[-3.698986823614838, 2.6369517563229863, -2.0537641408628993, 1.5787259462323213, -2.2531756113550125, -1.9434959576944086, 4.985141703900817, -2.9775225895843116, -0.12158017981303537, 2.4392271654108217];148.42320550000295
[3.866121360000002, -1.9472224];True;[3.539337072774339, 2.2107316535225054, -1.9863201131722596, -1.6512073718229447, 2.7442141728574985, -3.341275926383447, 2.261098342487032, -0.2314640527411349, 4.377994981592423, 3.8639898664283585];153.49577819998376
[3.808743336000009, -2.49999999999808];True;[-0.430729936156494, 2.1026954228225447, 3.993791173527651, 2.876927431879218, 1.0983978538834185, -4.761681182090866, 2.112790001394278, 3.430159319358122, 0.4221491895802032, -1.7138126167352894];155.76283009990584
[3.4578355680000006, -2.0600778];True;[3.043112308726174, -3.678156518773914, 0.7760680527758002, 0.37026411811812654, 2.1270732912742263, 3.533394321366167, -4.203588120499698, -2.770177714091292, -3.3410425056685966, -2.9719935247056584];156.4893451000098
[3.4022592000000076, -2.4999999998980837];True;[-4.559344985081876, -3.742397592734851, -2.9501721878909617, 0.9056737180334586, 1.1362154648297533, 4.529567865561612, 0.2679959080995271, -3.7966304875385015, -1.610724576624495, 0.13184955320070912];150.68838439998217
[3.9979379520000133, -2.3407224];True;[-1.5319473326224253, -2.6032447560621175, 1.0527109121145433, 1.2636011662431255, 4.823887735141556, 2.369092903996557, 2.7299910065170083, 3.8703155635871784, 2.4663965085712825, 3.4489060709980652];148.71266489999834
[3.700236816000013, -2.499999999997519];True;[3.9253922999963216, 0.7094207933080074, 3.2588663897443677, 1.6535134879453741, -4.600326441605267, -2.5473276135778535, 1.6858541027985288, -3.6094542002336794, 1.7907474405203816, 1.8405589170578356];156.36903229996096
[3.5558833680000013, -2.4999999999976463];True;[1.598592855103254, 2.2066335832536774, -1.2772492132428424, 3.436609136435715, -4.242678116051257, 1.959143365767213, -3.527385779992666, -4.315091482216219, 0.6442183024996737, 0.9414230985905654];157.85991300002206
[3.702375432000013, -2.4999999999992726];True;[-2.95481386732104, 3.0540594914025974, 3.391201654522529, 4.714495223923741, 3.473789226970492, -0.673008978520925, -3.860101980371642, -3.7987537879069655, -3.8660827126106923, 4.725483036388839];158.01257479994092
[3.627750240000005, -1.422801];True;[-3.8737778201025455, -3.116550581746209, 0.8826315675900744, -2.4681355335187547, 2.9251064095262826, 3.789994297301396, -4.746961982591308, -0.059748912053922965, 4.531273317191909, 2.8875578976350713];158.27543909999076
[3.806180496000011, -2.4999999999994054];True;[2.488062086849105, 0.2606242776319556, 0.4950679427324438, 2.295759799586885, -2.8111787375625754, 4.7549212601905655, 2.140838724123907, -3.4696684116346055, -1.5122757791263264, 4.369900323040165];155.2548395000631
[3.2747697360000076, -2.499999999998084];True;[-1.2295749148632815, 2.7436179576375554, -3.391766858302472, -2.7789592145966924, 4.176679973403505, -4.654702266242488, -3.3848872788738937, -4.650425123479191, -3.48359427914552, 1.0633359515890115];159.8374596000649
[3.5655297120000125, -2.3702034];True;[1.4806061152358563, -3.6088984592980866, 1.036491583975506, -2.0377259785909887, 1.9671643343069034, -0.92689368324982, -3.2978590721495626, -0.8779636062068068, 3.848981108814151, 0.28689547684630146];206.1228166000219
[3.448329192000013, -2.2101084];True;[1.9698857258302516, -0.41989015753431325, 0.14757442968841072, 2.6396258409380415, -3.3018047489595546, -1.7636982184447403, -3.188705893098882, 1.0547295269547625, -3.8041155580830477, -0.8887276211870567];217.3362832000712
[3.6343628640000123, -2.4999999997049267];True;[-4.160697773669824, 2.672387320247948, 4.890592939834445, -3.6790622855265376, -0.3487851490113165, 0.7346322110676597, -2.272571685450284, 0.8911878571242573, -2.4479982130992006, 4.7778558944426806];170.01480589993298
[3.71052316800001, -1.8147425];True;[-0.07388065101840535, -1.580645336020484, -0.2922593437268901, 3.072407384406567, -1.3123695472735797, 4.3071434289486135, 2.9865935058575843, 2.3994959036793952, -1.6369480763691193, -3.2860768183528446];167.17995230003726
[3.3726477600000138, -2.4999999999986784];True;[0.17515545584006453, -0.672249303966737, -3.646014553194392, -4.932609295259821, -2.0831992336427483, 0.08405835946132001, -0.22345084301524487, -1.5573099132628707, 0.36035446364316126, 1.4363633372466902];165.14084630005527
[3.8344099680000103, -2.4999999999969273];True;[-1.6357666935818251, -4.597080316022496, 2.9808829433055193, 4.232721183204097, -0.36727842221704954, -0.46179501140415624, 1.3459227303279162, 3.1713575153736464, 1.8459405444683874, 3.804064600968653];161.84267540008295
[3.6924340320000084, -2.499999999996537];True;[4.14364621907324, 4.582774590569832, 3.075605779975538, -4.090524108531113, -0.23680879297494162, -1.6909519396339823, 3.8861433766360225, -0.8266202366120332, -1.7925713377208163, -3.3046746630737767];162.63012809993234
[3.7528185600000095, -2.499999999960024];True;[1.622110971333245, -0.19489890717265368, -3.6928663067102763, 4.626909867036273, 0.3440843719815021, 4.8113897381867705, -2.5793087153285943, 4.96220811893213, -0.5535632405258948, -2.8044563671068734];148.9651113
[4.002929496000007, -2.4999999999993454];True;[4.747196373852159, 4.500870542819433, 0.4668486221681123, -2.423097342831664, 0.5829210962115976, 1.547106460026039, 4.782130702249441, -0.6003841207619045, 4.923502525790376, -0.4062754570643712];148.11430470005143
[3.2254092000000014, -2.499999999997829];True;[-2.5807070580676426, -1.2333433759776637, -4.487862096531746, -4.351425497070908, -0.05573586033322542, 0.08452256512915923, -2.5013571945003035, -4.346155142584198, 2.934814333913157, -1.3382556357168998];152.6053878000239
[3.4208118720000096, -2.499999999999488];True;[0.10743815520517064, -1.3670601691773667, -3.0712855102505343, -1.1329785050848518, -2.490673148197813, 0.2517050978967674, 2.8934667320145904, -0.7900215631910248, -3.7433805848988886, 0.5137192645787074];152.1364814999979
[3.1046911200000027, -2.4999999999978573];True;[1.9634320455296672, -1.0380457107319963, -3.6310163894313154, -2.661993058109541, -3.7189821112224553, -2.526411535239821, -4.555348290090264, -4.878633172995082, -3.4904525878172867, 1.0731660203817475];155.7097286999924
[3.76154107200001, -2.4999999998861138];True;[2.7444302156933436, 3.613476635562476, -4.0679018433985945, -0.4628826154686063, 4.179287216656331, 3.5553330644017773, 3.596010505680349, -0.8912992349334399, -2.5394974449845185, -2.7815325763003305];151.3352303999709
[3.765829968000012, -2.4999999997529896];True;[-1.3350224287233736, 4.075178082247778, 4.497138232425218, -4.166967176684713, -0.9853232340031148, 1.6738532835585946, -0.9032525963535569, -0.8038201704969765, 0.43247916064609804, 4.65979039760909];149.54015500005335
[3.5227725120000053, -2.4999999999388356];True;[-2.0418842107649238, -1.085196576483467, 3.572254116827171, -0.842527420623103, 0.3327638270947446, -1.5425023523981798, -0.06091796576465036, -4.180877182514868, 2.734943585243572, -0.9947073588855506];155.23691720003262
[3.7894968720000035, -2.499999999999402];True;[4.59845728965424, -0.25464659553683955, -3.159155071531176, 4.717864528280801, 3.22375216443443, 3.951476643164293, -2.1724556148963927, -2.492095591974791, -3.4121049893923896, 3.238566026186957];151.41429749992676
[3.409414848000003, -2.4999999999992504];True;[-3.215548114297758, -1.3404628041504942, 1.3715994551254802, 4.183240177783139, -3.7621640560028338, 2.996831903408271, -4.383102480310787, -1.8381736682032104, 1.1164210187717671, -4.485366282242565];152.49601989996154
