objectives;is_feasible;variables;evaluation_time
[3.6436504320000034, -1.7024165999999998];True;[2.7358195050666145, -1.9521244694515483, -4.9109449101545675, 3.432080315342281, -1.505567950116208, 3.086558967579183, -0.11558034598351519, 2.9061723379828095, -1.2954676986123448, -0.8933943638242159];133.32773399993312
[3.796808040000002, -2.499999999998682];True;[-1.7007509042356639, 3.592193879595742, 0.8939930988636524, 2.3008412178916346, 0.357257785500666, 2.3124596106039883, 4.200920675832393, 1.8746819492469013, -2.7645899343651106, -2.4888670832721504];133.67995860008523
[3.649751568000001, -2.4999999999989124];True;[-1.7626073009384013, -0.16644729037841266, 0.8105912243001079, 4.689577375707753, -1.4955715318706595, 1.662223000507983, 3.306569667345805, -0.3067080666090405, -0.7447543574035533, -4.222876503601666];134.7702272000024
[4.034800080000012, -2.4999999999905933];True;[4.1900182801777035, 3.3150720675857244, 0.5476088971023598, 3.063205641203803, 4.711856185557808, 1.1932622386194076, 2.8649890424747424, 0.8131112686571793, 3.1874951514845105, -4.290312186899254];135.7962331000017
[3.4002283680000107, -2.49999999999846];True;[1.6201114425007992, -1.0487292063893463, 3.9454376522628447, -1.6360414387375775, -0.407799579145677, -4.40619241260327, 2.712617707299688, -3.6563335688782397, -2.9386855925600575, -3.966417531065267];137.3926326999208
[3.959295552000003, -1.5281554000000002];True;[4.870544782845579, 3.548782812709735, 3.3078817767868998, 1.041505837366719, -0.3290657309247811, 0.6508231487915319, 2.7449741705562714, 4.903865028903747, -2.8685184290569907, -1.77007982944704];155.9828643000219
[3.611403360000001, -2.499999999997787];True;[-4.167202626138009, 0.008021257559491346, -0.9449955566569814, 3.3823132090501797, 4.007794902757652, -0.40911356280727507, -3.4804267343234563, 3.0589816582532876, 0.24955582173272006, -1.7103373977343383];160.47541850002017
[3.6789854400000044, -2.4999999999930225];True;[4.064254718101129, -1.7134617312031342, 4.387293697830616, 3.5421806330069856, 2.4514227897374212, -2.98168906747979, -0.2234747781537294, -3.586381989179428, 0.7550983744769777, -3.5718450286445136];167.80672850005794
[4.019332320000013, -2.4999999999988542];True;[2.1638987613437433, 2.4266409486221807, 1.4614109764940464, 3.059264854247509, -1.1839495275770262, 2.6654570559840574, 0.8691925178696263, 3.593704464390857, 0.16448552023299978, 3.6600971491384406];171.55521959997714
[3.76985059200001, -2.3220772];True;[-3.463159375541136, -4.8809032491556, 3.764467220203361, 4.369984368563793, 3.3206804496155016, -3.120806990190277, 1.3392479969750504, 4.620038995969374, 3.501505284704505, -2.1209244435429575];175.34827220009174
[3.776282208000012, -2.499999998488713];True;[4.896947606030732, 2.3552325392068587, -3.6200158606776043, 3.9050091286433037, -0.5548976879393388, -3.2996050816372033, 2.6444355804428437, 2.3265499907494895, -4.173637118486754, 3.147858083385339];157.54467309999745
[4.162842072000003, -2.4999999999996487];True;[2.0901359409195486, 3.1106206731157098, 3.584805546998723, 4.976836054298715, 2.929531637351552, 3.1981651963362836, 3.5095348408778637, 4.223606838873339, 1.6406296846004427, -3.7397149201031246];154.8672698000446
[3.916831248000005, -2.4999999999996247];True;[-4.7172446862430135, 1.2639189623472245, 1.7884652640268435, 3.3636234507424394, 3.778538613687278, -2.369555496646937, 4.322998907311813, 3.5932640869262897, 1.145002587476701, 1.9657651932777522];155.01100580010097
[3.7443900240000105, -2.4999999999993108];True;[3.46004905247071, -2.9605377843147607, 0.8511710206123579, -3.3619290068650542, 4.288983008708202, -0.5346950202172183, 2.510396997280141, 0.1026350104788829, 3.8654303871451585, -2.0701486341526976];156.08231600001454
[3.5212726080000034, -2.499999999939354];True;[-2.8396783697185137, 2.774536776346963, -4.685765431904949, -0.7976135795201778, 2.1653741255442878, 3.935162418707808, 2.6068375063934637, -3.4214044861660478, 0.3838742605966896, -4.299445494950527];161.50903930002823
[3.571543368000002, -2.4991039266];True;[-0.682661170558621, -4.887656108816624, -0.04238547959638428, 2.484087462995187, 2.391928183754745, 1.4538836697642026, -1.124879614533275, -3.136426747072142, -1.049148170339259, 2.7425003510104045];157.17699690000154
[3.5578008000000105, -2.4999999999983333];True;[-1.7576051645828628, 0.8214147325437917, -4.611561165076607, -2.554820021665738, -3.4826794635994505, 2.263344539387404, -2.8559255671795736, 4.658837519603633, 0.45374482078358547, 4.57826298488321];165.91502670000773
[3.561181416000009, -2.4999999999982903];True;[-4.577014263931024, 1.2249011027324137, 4.358790066396111, -4.145359319399107, 3.0479698124040624, 3.3775034182213197, -3.0693108795550472, -0.33192493089093666, 1.0057757470814979, -3.2218641658480895];165.5146958999103
[3.7553010480000095, -2.496787527];True;[2.959597551839619, -1.7345290618707718, 1.1669981152921967, -0.1015169551941959, 4.822264568822963, -2.6312462795145986, -0.10398195043944902, 3.3200035266491863, 2.452087351588098, -3.4931383750449783];157.70214399998076
