objectives;variables;evaluation_time;algorithm_time
[3.7138525920000083, -2.3799314];[-2.2856921319413734, -1.5586733477652404, 2.521590433392551, -2.587189291184969, 1.5128760705562527, 2.7000862524244598, 1.6020085178282901, 0.6864432987702003, -1.7107562222319093, 3.856928818619185];13.214.158.619.998.400;
[3.7981938960000017, -2.4999999999978018];[-3.445748690608105, -1.21684096209664, 0.2473190839903694, 3.8492053326909, 1.4234120552783889, -3.958429289493748, 2.238480501054391, 4.674604447843354, 1.8736195882735904, 2.956722139097975];14.042.688.799.998.700;
[3.5463858480000026, -2.3706272];[-0.6291220674450546, -1.1247993095483877, 0.3415837855887558, 3.417516158441737, -2.095562487418107, -3.0837300337577256, -4.487361531467323, -0.222702744386444, 0.5809109849636211, 4.287796207805783];1.372.252.988.999.820;
[3.4490322720000104, -1.9677525999999999];[-2.153090491252563, -3.1685693662045553, 1.5380428739395153, -2.814700199648917, 4.514990423932284, 4.780166930192703, -4.240368216965321, 0.4988743457671605, -3.6074541946367433, -2.870467018082219];13.864.110.249.996.800;
[3.6183557520000074, -2.499999999997576];[1.1746115015120306, -4.862030001204424, 3.726971554953151, 2.190158069706202, 1.3643061144105335, 1.2130358840958095, 0.6434472101895663, -3.231405683283042, 2.8522523088309537, -4.754891713656331];13.882.732.079.998.800;
[3.7533132000000107, -2.499999999999357];[0.49186249336294985, -2.8318761580405463, 3.713099765357807, -1.5130842392576072, 0.92921483954599, -1.1290917611879578, -0.17108767952597148, 2.606428951806649, 3.935828497007803, 0.5331941528719364];1.322.805.068.999.870;
[3.4851379680000125, -2.42774489];[1.72587841191101, 0.9110622368928674, -2.8099402083333036, -1.79531429022455, 0.7586462012582418, -4.762689447035877, 1.496936493706304, -0.052256230055006014, -4.036160679421171, 2.7128168418013674];13.964.615.909.999.700;
[3.271121496000007, -2.4999999999972395];[-1.1177281553047758, -2.0218583200731945, -2.2737719741815132, 2.2130341794900135, -1.7344034606672976, -4.859306795092734, -2.752543423020488, -4.406893720056946, 2.8340683717328297, -1.6398103288114285];1.390.685.308.999.960;
[4.028452272000008, -2.4999999999959917];[2.728308072631341, 3.2181028923894885, 3.1202600255674326, 4.62202812120092, -4.515598717928687, -2.0186428843600837, 4.779192926647376, 2.6399797578241664, 4.8407824007188776, -0.11200983806446807];13.274.663.830.001.300;
[3.4055957520000013, -2.4999999999974913];[4.252579891060055, -2.538102332029424, -4.322424468501474, -1.1884887943479718, -4.375559271725389, 0.520082993244813, 0.0978417147856172, -3.2346634464685717, 4.047932292895979, -2.7927097176160554];15.020.868.540.002.200;
[3.5552269440000117, -2.4999999999990545];[-2.7066621463997187, -3.8116938576016324, 1.5172746471917362, -3.1813231925737986, -2.2177004265104405, -0.11721079904680565, 3.3925792207784244, 3.798751846562551, 2.241557729084036, -1.5217479585471683];13.431.576.690.002.100;
[3.4615263600000086, -2.499999999999573];[1.9991241419829162, -1.1433823620342096, -3.4831677072237124, -1.9138872391064519, -0.6787037035923191, 1.5191209919204294, 4.256549146984584, -4.749737880274846, -4.859668293492012, 2.109608740774174];13.877.602.920.000.200;
[3.4693706160000004, -2.4999999999984706];[-2.2524593143373375, -1.3269026148782617, -2.494867206607597, 0.49894193505204765, 2.6876045349434, 1.7915926087447005, -0.27374249100882864, -1.8873466640930516, 0.5612002285687323, -3.885034726184231];13.880.444.600.002.300;
[3.6092308320000015, -2.499999999995156];[0.10580856241291059, 3.8327983506955388, -0.673879086251155, -2.157569383836131, -1.1598622664127523, -4.582847542643494, -4.3818612264753245, 3.502597128625336, 2.5825416304421935, 2.8262515519020157];13.937.981.020.001.400;
[3.6269804160000003, -2.499999999997189];[2.3126237525916267, 2.9304133048551293, 1.7711703188364334, 2.1792576297442823, 2.1185876357104068, -0.7533718005473187, -3.6785651139719566, -3.644027822367417, 1.518155211904725, -4.038460207397221];13.913.605.620.001.900;
[3.500835336000013, -2.0789942];[1.488182151728818, -3.429355019302408, 1.6751603044940433, 2.7330950471241087, -2.1905091692591947, 1.8887811766022278, -3.8048721413563955, -2.948811134464319, -1.961990300658086, 1.4260311104368375];13.838.665.679.999.300;
[3.833741448000014, -2.3881843];[0.5538679051319448, -1.3994066918922088, 1.8253514677148566, 3.350684556886499, -4.47706843880165, 4.971694231141706, 4.109882629417527, 1.9460759992814447, 3.7756376222935, -4.36869388406513];13.583.830.269.996.500;
[3.786847848000013, -2.4999999998777334];[-2.3099140329406795, -3.7358717073869583, 2.8344497316060906, 2.7685593404184914, 0.02048660488495191, 4.748391843104779, 3.711195867364852, -0.15901046840212274, 3.307065002073154, -3.068330313643898];13.530.071.999.999.900;
[3.612204720000012, -2.494189445];[3.445633959162338, 4.20817546840569, 0.41278925636895725, -4.384031550389793, -2.3598239126371565, -0.07101090505629593, 2.6707045797487963, -2.4132024318227883, -4.362490660475956, 2.8849522893991733];1.351.206.396.999.760;
[3.240777816000004, -1.057607];[-3.976256725063961, -3.7827241903247177, -3.5372543304486923, -1.8758869238426366, 4.73314409293789, 4.084662514329258, -0.47241529997024934, -4.62146051329257, -3.008602150315901, -4.7072245525844085];14.453.942.069.999.100;
[4.027734936000005, -2.4999999999990883];[-1.7259839014835898, 4.778323147034454, -2.3790670571365427, 1.846774939525253, 4.649544598669413, 3.875313388926932, 3.1200102284489066, 1.3734322713413967, 1.3054743224035006, 2.4253984884066773];13.170.723.449.997.600;
[3.740782392, -2.0447172];[4.0671719849340775, -4.839510160273017, -1.2794652118092809, 1.8220076054401613, 0.7728331066497045, 1.6584773366957686, 3.8566285605436583, -3.4359190150202834, 1.3583543949588561, 2.003794394861485];1.352.656.969.000.230;
[3.598257816000011, -2.4999999999986033];[-0.8481021856966287, -4.748407487259316, -3.2382657424087755, 3.9937084532640057, -4.77533071207671, 2.525059175902191, 3.697162506743311, -0.13168310421302998, 1.3207740657104017, 1.5911307815025886];13.187.665.630.003.900;
[3.4834542480000064, -2.499999999999355];[-2.2023301202351897, -2.3835282512792366, -4.0934943488877105, -0.7721892338163556, 2.447878188966639, -0.7020241648487682, -1.4211405676650148, 2.717861147756894, 0.009564954321932717, 0.4704580430937586];13.416.742.529.999.400;
[3.332648448000006, -2.499999998678885];[2.3547859817921424, -3.518562934792666, -4.964434187858894, -0.2596538508380819, -1.659555454518875, -2.5837188208200956, -0.7799811515991886, -1.101245923661148, -3.5592448798906684, 3.160867444971087];13.883.846.559.998.300;
[3.6473369040000008, -2.499999999999336];[-4.519571248567285, 0.830541374759707, -1.0173231982295583, -2.2387757247958096, 2.7119609572833614, -1.1504617988877253, 2.6788554890444596, 3.9500981791450247, 1.2052166677363392, -0.7923503359420412];13.416.794.120.002.300;
[3.690569520000006, -2.4999999999968505];[4.133951284123416, 1.399968179428928, 3.16536475998155, 0.03141524356503034, 2.6571454223169324, -0.8063259413394599, -3.609969747394859, 0.1776810595113787, -3.658111215280573, 0.16856092604265527];14.070.021.549.996.400;
[3.5591317920000005, -2.0347189];[-4.186054604678272, -1.3636235789004525, 4.214591228588061, 0.13363300450941296, 0.14908408211784518, -1.5519043241426864, 2.7902216166945504, -2.003000507293573, 3.941300125546878, -4.549629939333062];1.391.966.100.000.420;
[3.1711603680000118, -2.499999999998406];[-4.1738793270607575, 2.6067569029414317, -4.146840803080641, -4.302932562391972, -4.744646086583413, 2.397797029930447, 2.746942906496761, -3.592173845424247, -2.3184266938833256, -4.859642145097199];13.818.988.449.999.500;
[3.7152753840000026, -1.9711903];[3.2976537538834574, 1.4214147478880292, -3.760521970071812, 4.033606282941795, 4.076947359203411, -0.8172296054713959, 3.85763988695021, 0.9878442058743584, -3.3378043110939917, -4.9560244894422745];1.399.162.900.999.650;
[3.7849723200000103, -2.4999999999998166];[-3.0183473761336908, 1.2059540832328004, 4.474457164091149, 1.1811781565000725, 1.7889567972004716, 2.9070156992581175, -3.115491843802307, 3.9766685944546296, 1.4134115989155251, -2.783566535766062];1.380.794.770.999.920;
[3.6879267600000016, -2.499999999997893];[-4.504001170282338, 1.9770195902854129, 1.7898367101195989, -1.080437610131706, -1.3921697046416814, 3.6211298507632375, -2.0500568872560834, 0.21262622756055904, 1.0040801797670529, 3.9593216291251956];13.697.994.809.999.300;
[3.983366808000002, -2.499999999999271];[4.297313712224941, 1.225502170381735, 4.008139507557555, -1.636600211664824, 0.660032886070713, 3.1302842541604843, 2.5253109022790827, 4.603745803509412, -0.1417309561847251, -1.4568717341956052];13.625.447.239.994.500;
[3.517028640000003, -2.137269];[0.6776229106831799, -0.41744586156701313, -1.1100943046998593, -4.189720509655473, -3.2915905968054124, 4.777733556030782, 0.35329399457756594, -3.043238610830943, 0.8292317983105768, 1.0396223321556217];13.581.417.849.997.500;
[3.757036392000007, -2.1284139];[-0.49025427099355223, -3.3899623701880643, 1.5186048814923456, -0.6303034997078836, 4.096971799063121, 1.979315040812752, 3.3055872040681713, 1.8851794957703119, 1.156591005095473, -2.694849437104736];1.369.990.620.999.590;
[3.364482528000007, -2.1390143];[3.238729085864062, -3.1947239189765453, -2.7821032210462358, -3.863380069769944, 4.269709556665202, 1.3551417368440344, -3.274162348160891, -3.911504918621478, -3.7708287372200147, 0.4961925472028632];1.360.435.642.999.940;
[3.732857136000009, -2.499999999996627];[-2.006478914393164, 2.2573895548337077, -4.162903288858112, 4.204573157967374, 1.3724010832154532, -0.9617171931100321, 1.1503485781620366, 0.32992655094719403, 0.7104849506962276, 2.7234409805382933];13.198.635.880.002.900;
[3.4349469120000116, -2.4999999999870894];[-1.3152287192171395, -2.671823495820589, -2.424492476937731, 1.6756455022534666, 0.8129250757685913, -0.45395059018574546, -2.4021844926400915, -0.6980508845437985, -3.3341905839136987, 2.63671728478144];1.354.231.209.999.990;
[3.9923606160000014, -1.7284229];[2.2860095247946175, 2.7417592003705185, -1.1358364703981785, 3.6445157174480567, 2.0268005303073178, -1.65284531545998, 0.7568209442937501, 1.8114789427400426, 3.0697130304016103, 4.083063789716471];13.118.701.429.996.800;
[3.386486016000001, -2.4999999999979616];[-4.284829669352473, 2.7059817749808683, -2.099413949106644, -2.639105781765233, -1.9360104505901345, -0.5702837834026662, 3.769008399464406, -3.9931276787024728, 0.4257780281032053, -1.7962119240642815];12.325.934.150.000.100;
[2.632568040000005, -2.4999999990656576];[-5.0, -5.0, -5.0, -5.0, -4.041523630945239, -5.0, -5.0, -5.0, -4.985711065311058, -1.29460684261411];14.343.974.800.000.400;6.462.223.599.955.900
[2.5315200000000093, -2.47531935];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];14.294.227.979.995.700;6.462.223.599.955.900
[3.0380065200000113, -2.3090949];[-5.0, -5.0, -5.0, -2.3449185878379124, -4.8095283753413, -5.0, -3.807514465222974, -0.7324101301003489, 3.3979769110320426, 1.7448484268553663];13.868.673.690.001.000;6.462.223.599.955.900
[2.8443340080000072, -2.499999999999152];[-5.0, -2.4084170408929584, -5.0, -4.87324198785349, -2.0706192298842065, -5.0, -4.713248353208277, -1.0184637660392513, -0.7891673086176638, -4.644729974824068];14.232.635.680.004.000;6.462.223.599.955.900
[2.812892832000008, -2.4999999999976645];[-5.0, -5.0, -5.0, -5.0, 0.5799428620281635, -5.0, -5.0, -5.0, 0.988033972742902, -3.5414646964738683];1.427.166.582.000.200;6.462.223.599.955.900
[2.7568399680000106, -1.9975653];[-5.0, -5.0, -5.0, -5.0, -2.6599351730932224, -5.0, -5.0, -4.656132835270331, -4.6421134718086625, 2.389668956486278];1.411.352.861.999.760;5.580.808.500.002.600
[3.048963120000012, -2.4999999998730007];[-5.0, 5.0, -5.0, -5.0, 0.2998123088659792, -5.0, -5.0, -3.362466077717958, -0.2042940984624364, -2.777363786106845];14.366.366.830.002.500;5.580.808.500.002.600
[2.8353255120000114, -1.6784355];[-5.0, -5.0, -5.0, -5.0, -1.666221274256357, -5.0, -5.0, -0.30681943573710413, -4.400553298530759, 0.4386629902700392];14.077.878.499.997.300;5.580.808.500.002.600
[3.3936989040000003, -2.499999999663134];[-5.0, 5.0, -5.0, -3.3032000939943975, 0.1742807101022219, -5.0, -5.0, 5.0, 1.1668132223530634, 1.877789374912867];14.309.279.830.002.900;5.580.808.500.002.600
[3.226733064000009, -2.4999999997324602];[-5.0, -5.0, -5.0, 5.0, -0.6688851811042813, -5.0, 2.161922053097877, -1.4078728495270982, 0.9379282685241161, -3.8372961444520044];13.956.773.890.001.900;5.580.808.500.002.600
[3.5105533920000016, -2.47713558];[-5.0, 4.291505149987614, -5.0, 4.777253973818048, 1.9140032285591237, -5.0, -5.0, 3.7429480279105007, -1.9788764522224866, 2.5787891917327244];1.604.793.001.000.070;59.945.021.999.883.400
[2.8560060000000083, -2.499999999993108];[-5.0, -5.0, -5.0, -5.0, 1.8809865336533829, -5.0, -5.0, -4.259517946723234, -0.507838899267222, -2.091137627352902];15.283.402.329.997.600;59.945.021.999.883.400
[3.0244810320000095, -2.499999999998415];[-5.0, -5.0, -5.0, -5.0, 1.9729203071864454, -5.0, -0.36837849952826307, -5.0, 3.322413646369853, -2.104699881473083];15.191.618.599.998.700;59.945.021.999.883.400
[3.0706398000000106, -2.499999999996742];[-1.8721665491541688, -5.0, -5.0, 0.339455573830155, 1.2408634545661004, -5.0, -4.605922637316178, 0.28520991952299735, -1.7087312500117218, -3.7194705305757307];1.562.048.670.000.510;59.945.021.999.883.400
[2.6638167600000067, -2.4999999999112172];[-5.0, -5.0, -5.0, -5.0, -4.000867386244694, -5.0, -5.0, -5.0, -1.8981424256732056, -2.976115157406533];1.594.232.570.999.880;59.945.021.999.883.400
[3.0092763600000074, -2.2093937];[-5.0, -5.0, -5.0, -5.0, 3.5140371690197707, -5.0, -5.0, 5.0, -5.0, -1.3956878725347184];1.731.909.206.000.270;10.334.474.299.976.100
[3.2268157920000013, -2.4999999999987943];[-0.8055550448511175, -5.0, -5.0, -4.132137315552043, 1.116113803616912, 5.0, -5.0, -1.9924508667742118, 0.9109077963012426, -2.907238493962586];16.759.188.830.002.600;10.334.474.299.976.100
[2.5870993920000114, -1.5431705];[-5.0, -5.0, -5.0, -5.0, -4.76766655807727, -5.0, -5.0, -5.0, -5.0, -2.6592184917570365];17.631.299.350.003.200;10.334.474.299.976.100
[2.8484110080000127, -2.0020541];[-5.0, 4.132069385624959, -5.0, -5.0, -3.6019479421588807, -5.0, -2.5361460872871975, -5.0, -5.0, -3.323103678150094];17.289.579.499.996.000;10.334.474.299.976.100
[3.496144896000003, -2.496173849];[-2.55369969580231, -5.0, -5.0, 5.0, 1.2314339397589826, 5.0, 1.2179162053145856, -3.0305145866108196, 0.744701011767126, -2.951321525818997];1.669.955.428.999.960;10.334.474.299.976.100
[2.7764694000000087, -2.499999999997657];[-2.4425075517989066, -5.0, -5.0, -5.0, -3.5337798766629365, -5.0, -5.0, -5.0, 0.4261711494848006, -3.109643325557793];17.866.183.310.002.000;1.101.347.619.999.430
[3.1581025200000115, -2.1221143];[-5.0, -5.0, -2.550173819423705, -1.0638954887531584, -1.8577796188095688, -5.0, -3.271845135483468, -1.6894185435158988, 1.4587295218808327, 2.9828494196352473];1.688.535.036.999.960;1.101.347.619.999.430
[2.975581224000004, -2.0849541];[0.7739496517772047, -5.0, -5.0, -5.0, 2.466791274175465, -5.0, -5.0, -5.0, -1.797088553643765, -0.8852608589427433];17.837.318.180.000.800;1.101.347.619.999.430
[3.0699343440000053, -2.4999999999975735];[4.071192893573363, -5.0, -5.0, -2.759906215439848, 2.548372289046947, -5.0, -5.0, -5.0, -2.8125514286401514, -1.12046550396055];18.562.461.390.002.800;1.101.347.619.999.430
[2.696270760000008, -2.4999999999987104];[-5.0, -5.0, -5.0, -5.0, -2.5598832922123367, -5.0, -5.0, -5.0, -1.230046946630528, -3.58272861933736];18.254.837.289.999.700;1.101.347.619.999.430
[3.0267231120000018, -1.9080678];[-1.8435795479413333, -5.0, -2.8069188681624158, -5.0, -4.629677184127656, -2.106906533407015, -5.0, -5.0, 4.940254795207656, -0.6271124915396769];17.875.715.079.996.700;8.600.379.200.011.950
[2.868983712000006, -2.0408237];[-3.251049627693662, -5.0, -5.0, -5.0, -0.7208804531305333, -5.0, -5.0, -5.0, 2.054925724185164, -2.4596769877520943];18.398.787.810.001.500;8.600.379.200.011.950
[2.8223555760000103, -2.492454011];[-0.23384295411952571, -5.0, -5.0, -5.0, -1.541205990294023, -5.0, -5.0, -5.0, -1.6619562213998962, -3.098387696721563];1.829.491.793.999.910;8.600.379.200.011.950
[2.8492685280000067, -2.4999999999956937];[-5.0, -5.0, -5.0, -5.0, -3.1397004855223236, -5.0, -5.0, -5.0, -1.2114881727074236, 4.061773393852983];18.032.898.079.999.700;8.600.379.200.011.950
[2.903357952000002, -2.499999999995697];[-5.0, -5.0, -5.0, -5.0, 1.4787978698811646, -5.0, -5.0, -5.0, 2.103767262600166, -1.367852966394063];17.967.599.980.003.400;8.600.379.200.011.950
[3.195390384000005, -2.48841924];[-5.0, -3.4785868185731315, -5.0, -3.002150351880327, 1.647377874109047, -4.777029384957899, -0.04441583929819437, -1.6031074881118643, 3.416745185171772, -1.4240860423894808];165.155.579.400.016;7.762.660.999.957.000
[2.8968172560000087, -2.4999999999966915];[-5.0, -3.9391769035024113, -3.8152991966437924, -5.0, -1.7220635791675898, -5.0, -5.0, -5.0, -1.9445215037892032, 3.3329733569604887];1.691.104.949.999.710;7.762.660.999.957.000
[2.6520825600000046, -2.4999999991592707];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.2537188074497054, -1.164695831402888];16.899.811.639.997.600;7.762.660.999.957.000
[3.019704840000012, -2.2500362];[-4.6277523826037905, -5.0, -5.0, -5.0, -1.1990561525314702, 1.6712684745259523, -5.0, 0.10247106203870615, -0.04683209930146681, -3.298960770457866];16.614.960.439.997.900;7.762.660.999.957.000
[2.801350872000008, -2.4999999999989355];[-4.227450021194674, -5.0, -5.0, -5.0, -3.694348246307068, -4.112608049039877, -5.0, 0.8594778339093834, -2.6176768372520085, -3.71522263615125];16.599.594.189.994.900;7.762.660.999.957.000
[3.5943646320000107, -2.499999999999508];[-3.5583091864230405, 2.373329534906877, 0.49771420312574044, -5.0, -4.37921000634207, 0.9686900413822723, 1.768918325307066, 2.9750634701027447, 3.41635048267735, 0.14320409330725248];14.247.703.499.998.800;7.715.911.800.041.790
[3.1859539920000013, -2.498146311];[-5.0, -1.5935982938645625, 2.8088709959701887, 1.5184014136474104, 0.29801788289162623, -5.0, -5.0, -3.810766466556113, -5.0, 1.0769532973194362];16.009.290.590.003.300;7.715.911.800.041.790
[3.2873389920000107, -2.4999999999984177];[0.8113260810367464, -3.7135948899363402, -1.1568808557683807, -4.108244258560893, 3.045277795110385, -5.0, -4.086472219773588, -0.4325339911738171, 1.4857666243270264, -1.8530251981856432];15.729.412.799.997.900;7.715.911.800.041.790
[3.2408218800000084, -2.499999999997551];[1.5568628959407445, -5.0, -3.475012504139495, -0.6957818749481657, 4.659589289525915, -3.542554470835157, -4.171648202695319, -4.260736362163437, -2.2690236663328642, 0.03634907233437801];15.760.732.259.997.100;7.715.911.800.041.790
[2.790412416000004, -2.4999999999938383];[-5.0, -2.8417250870945625, -5.0, -3.686407716346291, -3.9536982971317123, -5.0, -5.0, -5.0, 0.3469347973521142, -2.879342163963913];15.795.453.509.996.800;7.715.911.800.041.790
[3.1427980560000126, -2.499999999996629];[-0.8288730581499939, -4.571354434068242, -5.0, 2.5840196138142355, -2.666651921969238, 0.8589623615377437, -5.0, -5.0, 1.3721396148042526, -3.448320406807169];17.343.296.599.999.300;8.526.177.200.023.080
[2.8446033600000034, -2.499999999997263];[2.5299160280854505, -5.0, -5.0, -3.94716801612325, -3.881819072570343, -5.0, -5.0, -5.0, -4.09167173955238, -1.1146614214894495];17.758.763.290.004.500;8.526.177.200.023.080
[3.572578224000006, -2.4999999999996563];[-2.2571863977588635, 2.046893546527847, -0.16409150875586853, -0.5305025272640815, -3.837667024339106, 0.2616234966243214, -0.06768633852148742, -1.8712105421320273, 3.7009912487802925, 0.9159829842397311];1.697.545.237.999.870;8.526.177.200.023.080
[3.3232626000000014, -2.1629308];[-4.12870721804763, -0.6754910970181145, -0.12391811798496732, -1.9120325020798736, 0.05619850650957403, -4.439213414371119, -1.2613000050245455, -0.928905083491065, 1.4513588113846323, -1.3832275409478312];1.707.043.506.000.190;8.526.177.200.023.080
[2.7449802720000136, -2.4999999999976588];[-4.623034177827564, -4.833923297399058, -5.0, -1.818572875008611, -4.955299240917865, -5.0, -5.0, -5.0, 0.22076211921916133, -4.107522000424609];17.795.288.009.999.700;8.526.177.200.023.080
[3.417005088000011, -1.424557];[-0.013983868571860292, 4.596763584165233, -5.0, -4.117676788992411, 5.0, -5.0, -5.0, -4.1468696892086525, 1.9739143767591116, 2.702544532663591];14.784.511.180.000.800;6.030.720.000.038.850
[2.6543231280000135, -2.4999999999993445];[-5.0, -4.507591369958718, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.1213571437540395, -4.928450745657149];14.821.199.860.004.700;6.030.720.000.038.850
[2.92324291200001, -1.8039852];[1.317586032954507, -5.0, 2.746793962180921, -5.0, -5.0, -5.0, -5.0, -5.0, -2.5539262671326073, -3.3751348431237327];1.552.219.493.999.720;6.030.720.000.038.850
[3.0891490560000094, -2.499999999991881];[-5.0, -5.0, -5.0, -5.0, 2.3247226500158833, 2.0520722461991365, -5.0, -5.0, 2.567603247234386, -1.1282236306999822];14.144.061.490.002.700;6.030.720.000.038.850
[2.963110032000005, -2.4999999999981535];[-5.0, -5.0, -5.0, -5.0, -1.8742977643144183, 1.009303969573815, -5.0, -5.0, 2.608197653520693, -1.7621919399011499];14.281.748.369.999.600;6.030.720.000.038.850
[3.1086998640000028, -0.718756];[-5.0, -5.0, -2.8875715209226382, 1.4659122547933023, 1.8050395891986195, -2.955841495279137, -3.499035933588476, -2.9459744095102707, -5.0, 0.7387328717363708];17.937.293.229.997.100;6.623.668.499.989.430
[3.08380564800001, -2.4999999999967266];[-4.938125281123602, -5.0, -5.0, 2.0359290703350563, -2.793606949510735, 0.9380426205043166, -5.0, -5.0, 2.3373263146510945, -2.0107732400461877];16.852.614.600.001.800;6.623.668.499.989.430
[2.8379026080000007, -2.4999999999993263];[-5.0, -5.0, -5.0, -1.4367818502328595, -3.6298716151612265, -3.3957532096905605, -5.0, -1.2263286837351162, -1.368506129838159, -4.758368156458364];17.897.329.210.001.000;6.623.668.499.989.430
[2.613782736000006, -2.1688767];[-5.0, -5.0, -5.0, -5.0, -3.5829750672881966, -5.0, -5.0, -5.0, -2.608575102247259, -5.0];1.882.786.225.999.580;6.623.668.499.989.430
[2.7186388560000023, -2.4999999999958855];[-5.0, -5.0, -5.0, -5.0, -3.192615880516109, -4.3969745516061245, -5.0, -4.9071652982300655, -1.9753704326536168, -1.8649599960971148];18.006.924.769.998.200;6.623.668.499.989.430
[3.052737072000003, -1.5862933];[-0.5773010334310449, -5.0, -2.208149769018244, -5.0, 0.944141617931952, -5.0, -5.0, 1.4428500843111003, -0.4711041668789182, -5.0];1.741.927.929.999.650;9.706.546.600.034.920
[2.9531640960000076, -2.49999999994124];[-1.8063465259262914, -1.8809527428159463, -2.1350372983687866, -2.5893987639143385, -4.025943588417911, -5.0, -5.0, -2.635600431042862, -0.40616909993000316, -5.0];17.370.181.980.001.500;9.706.546.600.034.920
[3.0990332160000107, -2.0775739];[-1.8912333380077833, -4.910739974794934, -4.989768529870203, 0.5638901964722933, 1.5808369279033112, -4.85425000875686, -4.313384178868343, 0.2069943158029206, -1.542340190239953, -3.576260211621397];1.730.528.102.000.240;9.706.546.600.034.920
[2.6415650880000086, -2.2131961];[-1.9368892549136651, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -2.9684345128143454, -5.0];17.765.323.230.001.300;9.706.546.600.034.920
[2.7364417920000133, -2.4999999999970286];[-2.0539507017020835, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.24980157251187318, -3.708733433445646, -5.0];17.355.861.230.002.400;9.706.546.600.034.920
[2.843799840000008, -2.4999999999981917];[-3.068299743235924, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.14195526652434332, -1.063908907958396, -1.552375021474075];1.772.604.537.999.720;956.981.099.996.483
[2.909771424000007, -2.4999999999921756];[-3.1376006667868577, -5.0, 1.3424697599101298, -5.0, -5.0, -5.0, -5.0, -3.691384443357068, -1.9566806270699297, -0.0451688292636474];17.834.000.660.001.700;956.981.099.996.483
[3.356504784, -2.4999999999931886];[-1.7253840023705163, -5.0, -2.7272305796305982, 5.0, -2.302880574645436, 4.917937930355253, -5.0, -4.1606626003586396, -0.7268513477839997, -0.08118950975362615];1.734.649.216.000.100;956.981.099.996.483
[3.138169392000012, -2.496167935];[-2.017628146560009, -4.7669709645000085, -1.7534352412565735, 0.6832907124418961, -5.0, -3.096284551583824, -5.0, -2.3584905133925926, -0.348591430377871, 1.743735745494062];17.755.921.740.003.300;956.981.099.996.483
[2.726721144000008, -2.499999999987423];[-3.6720119954088415, -5.0, 2.533184938414438, -5.0, -5.0, -5.0, -5.0, -4.91185019720827, -5.0, -4.912236349277935];18.848.811.989.999.300;956.981.099.996.483
