objectives;is_feasible;variables;evaluation_time
[3.8614644000000005, -1.278452];True;[3.3569948175481876, -1.7888316608056245, -3.2875696384960493, 3.702546495191962, 1.318958036857973, 1.4823206123527823, -0.322445584657439, 4.647402907503938, 1.631086344729411, 0.8310357276634663];132.83690499997465
[4.015556424000005, -2.499999999997966];True;[3.67036096690034, 2.459427000312278, 3.67218231151284, 3.1793579036062614, 2.671143177632601, 2.1018902868054923, 1.1103284671279958, -4.595229444403278, 0.43579289932242204, 4.000119904125954];136.54708970000502
[3.714653304000004, -2.499999999997965];True;[2.260474011161479, 2.685852298915683, 3.017442405830341, 0.41278205435109605, 3.23828761758368, -2.6980129073002557, -3.5575324063585265, 2.644502417679689, 0.9571533030745005, -4.186248504436785];136.9003023999976
[3.5054285760000026, -2.3633344];True;[-3.6287585293256406, 0.07853199107525466, 0.2975164905869834, 4.886623933169476, 3.0003382341794342, -1.9106892585804958, 1.838214316602369, -0.17976032371141226, -4.6393101412104265, -4.654345991545959];138.08749980002176
[3.674085912000011, -2.4999999999977978];True;[0.8278471698418999, 4.600702923308981, 2.343084609262549, 0.3768781494142095, 0.09867913439518361, 1.9882408461259171, 0.0456480711922147, -4.774578016784819, 2.062604609494527, -4.672527935258623];141.90237199998228
[3.507458976000008, -2.499999999996344];True;[1.8145661022257613, -4.636800572622461, 1.0762907331727956, 3.629586451443883, 3.555421778189025, -1.5524235908606956, -3.9663141989308848, -2.9181943705633087, 2.6846789941758544, -4.504423950138618];161.1080189999775
[3.658563072000007, -2.4999999999970917];True;[0.055089595976303585, 0.17520720473991425, -2.3891937397174945, 1.1251593078139521, -1.545559669114028, 3.6052628891445604, -0.6728008893614179, -4.115920185476558, 4.591095120988312, 1.349579164974478];156.91980800003512
[3.5265041280000133, -2.4999999999987152];True;[-1.7451761633424843, -0.037643786490583864, 0.04937209975531598, 0.5865851152544188, -3.8618654022650887, 2.3741587231258876, 3.5893916942630977, -4.637139176423599, -0.4301018805546839, 0.17648731069601542];161.01395900000352
[3.6422200800000084, -2.1865858];True;[-1.2985612296136329, 2.5895147121862845, 3.3388986566149352, 1.9790106447228446, -4.635434243130984, 3.0612537138296645, -4.772780814399541, 3.020611401604766, -2.104974228166795, 0.24376475454422586];171.45142470003339
[3.7798526880000045, -2.4999999999994515];True;[1.8104111034045776, -2.9903423007584315, -4.663923646934923, 1.183579240777326, 4.873618912967782, 4.995307186850239, 2.2857511539875865, 4.411186251813902, -4.69380004322919, 0.5814033148265132];179.57031459995778
