"time","INTERNAL ENERGY","KINETIC ENERGY","X-MOMENTUM","Y-MOMENTUM","Z-MOMENTUM","MASS","TIME STEP","ROTATION ENERGY","EXTERNAL WORK","SPRING ENERGY","CONTACT ENERGY","HOURGLASS ENERGY","TH_RWALL                                 1 IMPACTOR                                  FNX       J ","TH_RWALL                                 1 IMPACTOR                                  FNY       J ","TH_RWALL                                 1 IMPACTOR                                  FNZ       J ","TH_RWALL                                 1 IMPACTOR                                  FTX       J ","TH_RWALL                                 1 IMPACTOR                                  FTY       J ","TH_RWALL                                 1 IMPACTOR                                  FTZ       J ","intrusionTrack                           99999 IntrusionNode                             DX        J ","intrusionTrack                           99999 IntrusionNode                             DY        J ","intrusionTrack                           99999 IntrusionNode                             DZ        J ","intrusionTrack                           99999 IntrusionNode                             VX        J ","intrusionTrack                           99999 IntrusionNode                             VY        J ","intrusionTrack                           99999 IntrusionNode                             VZ        J ","intrusionTrack                           99999 IntrusionNode                             AX        J ","intrusionTrack                           99999 IntrusionNode                             AY        J ","intrusionTrack                           99999 IntrusionNode                             AZ        J "
0.000000e+00,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.470337e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.470337e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
2.940675e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.940675e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
4.411012e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.411012e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
5.881350e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.881350e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
7.351687e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.351688e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
8.822025e-06,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.822025e-02,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.029236e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.029236e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.176270e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.176270e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.323304e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.323304e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.470337e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.470338e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.617371e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.617371e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.764405e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.764405e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
1.911439e-05,0.000000e+00,4.300000e+06,0.000000e+00,0.000000e+00,-8.600000e+02,8.965040e-02,1.470337e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.911439e-01,0.000000e+00,0.000000e+00,-1.000000e+04,0.000000e+00,0.000000e+00,0.000000e+00
